Strain (mm/mm) Run #5,Stress (MPa) Run #5,E(Run #5),Strain (mm/mm) Run #6,Stress (MPa) Run #6,E(Run #6 natural),Strain (mm/mm) Run #7,Stress (MPa) Run #7,E(Run #6 natural),Strain (mm/mm) Run #8,Stress (MPa) Run #8,,Strain (mm/mm) Run #9,Stress (MPa) Run #9,
,,,,,,0.178888889,458.8134119,,,,,,,
,,,,,,0.179722222,456.1887321,,,,,,,
,,,,,,0.181111111,452.3976504,,,,,,,
,,,,,,0.186388889,1.087099854,,,,,,,
,,,,,,0.187222222,0.291875847,,,,,,,
,,,,,,0.1875,0.318309886,,,,,,,
,,,,,,0.1875,0.265441808,,,,,,,
,,,,,,0.1875,0.318309886,,,,,,,
,,,,,,0.1875,0.344743925,,,,,,,
,,,,,,0.1875,0.344743925,,,,,,,
,,,,,,0.1875,0.318309886,,,,,,,
,,,,,,0.1875,0.344743925,,,,,,,
,,,,,,0.1875,0.371177964,,,,,,,
,,,,,,0.1875,0.371177964,,,,,,,
,,,,,,0.1875,0.318309886,,,,,,,
,,,,,,0.1875,0.371177964,,,,,,,
,,,,,,0.1875,0.371177964,,,,,,,
,,,,,,0.1875,0.318309886,,,,,,,
,,,,,,0.1875,0.344743925,,,,,,,
,,,,,,0.1875,0.371177964,,,,,,,
,,,,,,0.1875,0.344743925,,,,,,,
,,,,,,0.1875,0.291875847,,,,,,,
